fiscal_year,state,state_size,gdp_share,unit,notes,election_year_clean,state_raw,state_canonical,gdp_share_pct
1980-81,Sikkim,Small,0.0,gdp_share in percentage,,1980,Sikkim,Sikkim,0.0
1980-81,Tripura,Small,0.2,gdp_share in percentage,,1980,Tripura,Tripura,20.0
1980-81,Andhra Pradesh,Large,7.0,gdp_share in percentage,,1980,Andhra Pradesh,Andhra Pradesh,700.0
1980-81,Bihar,Large,6.3,gdp_share in percentage,,1980,Bihar,Bihar,630.0
1980-81,Madhya Pradesh,Large,6.6,gdp_share in percentage,,1980,Madhya Pradesh,Madhya Pradesh,660.0
1980-81,Uttar Pradesh,Large,13.2,gdp_share in percentage,,1980,Uttar Pradesh,Uttar Pradesh,1320.0
1970-71,Andhra Pradesh,Large,7.7,gdp_share in percentage,gdp_share: Data for Andhra Pradesh and Telangana Together,1970,Andhra Pradesh,AP-Telangana Combined,770.0
1970-71,Assam,Large,2.4,gdp_share in percentage,,1970,Assam,Assam,240.0
1970-71,Bihar,Large,6.9,gdp_share in percentage,gdp_share:Data for Bihar and Jharkhand Together,1970,Bihar,Bihar-Jharkhand Combined,690.0
1970-71,Chhattisgarh,Large,,gdp_share in percentage,,1970,Chhattisgarh,Chhattisgarh,
1970-71,Delhi,Large,1.5,gdp_share in percentage,,1970,Delhi,Delhi,150.0
1970-71,Gujarat,Large,6.7,gdp_share in percentage,,1970,Gujarat,Gujarat,670.0
1970-71,Haryana,Large,2.7,gdp_share in percentage,,1970,Haryana,Haryana,270.0
1970-71,Jharkhand,Large,,gdp_share in percentage,,1970,Jharkhand,Jharkhand,
1970-71,Karnataka,Large,5.7,gdp_share in percentage,,1970,Karnataka,Karnataka,570.0
1970-71,Kerala,Large,3.8,gdp_share in percentage,,1970,Kerala,Kerala,380.0
1970-71,Madhya Pradesh,Large,6.1,gdp_share in percentage,gdp_share:Data for Madhya Pradesh and Chhattisgarh Together,1970,Madhya Pradesh,MP-Chhattisgarh Combined,610.0
1970-71,Maharashtra,Large,11.9,gdp_share in percentage,,1970,Maharashtra,Maharashtra,1190.0
1970-71,Odisha,Large,3.2,gdp_share in percentage,,1970,Odisha,Odisha,320.0
1970-71,Punjab,Large,4.4,gdp_share in percentage,,1970,Punjab,Punjab,440.00000000000006
1970-71,Rajasthan,Large,5.1,gdp_share in percentage,,1970,Rajasthan,Rajasthan,509.99999999999994
1970-71,Tamil Nadu,Large,7.3,gdp_share in percentage,,1970,Tamil Nadu,Tamil Nadu,730.0
1970-71,Uttar Pradesh,Large,13.0,gdp_share in percentage,gdp_share:Data for Uttar Pradesh and Uttarakhand Together,1970,Uttar Pradesh,Uttar Pradesh,1300.0
1970-71,Uttarakhand,Large,,gdp_share in percentage,,1970,Uttarakhand,Uttarakhand,
1970-71,West Bengal,Large,9.7,gdp_share in percentage,,1970,West Bengal,West Bengal,969.9999999999999
1970-71,Andaman and Nicobar Islands,Small,,gdp_share in percentage,,1970,Andaman and Nicobar Islands,Andaman and Nicobar Islands,
1970-71,Arunachal Pradesh,Small,0.1,gdp_share in percentage,,1970,Arunachal Pradesh,Arunachal Pradesh,10.0
1970-71,Chandigarh,Small,,gdp_share in percentage,,1970,Chandigarh,Chandigarh,
1970-71,Goa,Small,,gdp_share in percentage,,1970,Goa,Goa,
1970-71,Himachal Pradesh,Small,0.7,gdp_share in percentage,,1970,Himachal Pradesh,Himachal Pradesh,70.0
1970-71,Jammu and Kashmir,Small,0.8,gdp_share in percentage,,1970,Jammu and Kashmir,Jammu and Kashmir,80.0
1970-71,Manipur,Small,0.1,gdp_share in percentage,,1970,Manipur,Manipur,10.0
1970-71,Meghalaya,Small,,gdp_share in percentage,,1970,Meghalaya,Meghalaya,
